kegg_gene,gene_num
KL,1298
KLC1,1299
KLC2,1300
KLC3,1301
KLC4,1302
KLF2,1303
KLF4,1304
KLRD1,1305
KMT2A,1306
KPNB1,1307
KRAS,1308
KRIT1,1309
KRT15,1310
KRT16,1311
KRT18,1312
KRT19,1313
KRT24,1314
KRT32,1315
KRT9,1316
KSR1,1317
KSR2,1318
LAMA1,1319
LAMA2,1320
LAMA3,1321
LAMA4,1322
LAMA5,1323
LAMB1,1324
LAMB2,1325
LAMB3,1326
LAMC1,1327
LAMC2,1328
LAMC3,1329
LAMP1,1330
LAMTOR2,1331
LAMTOR4,1332
LAT,1333
LATS1,1334
LATS2,1335
LCAT,1336
LCK,1337
LDHA,1338
LDHAL6A,1339
LDHB,1340
LDHC,1341
LDLR,1342
LEF1,1343
LEP,1344
LEPR,1345
LFNG,1346
LGR4,1347
LGR5,1348
LGR6,1349
LHB,1350
LHCGR,1351
LIF,1352
LIFR,1353
LILRA4,1354
LILRA6,1355
LILRB4,1356
LIMD1,1357
LIMK1,1358
LIMK2,1359
LIN37,1360
LIN52,1361
LIN54,1362
LIN9,1363
LLGL1,1364
LLGL2,1365
LMNA,1366
LMNB1,1367
LMNB2,1368
LMO7,1369
LPAR1,1370
LPAR2,1371
LPAR3,1372
LPAR5,1373
LPIN1,1374
LRP1,1375
LRP2,1376
LRP5,1377
LRP6,1378
LRPAP1,1379
LRRC4,1380
LRRC4B,1381
LRRC4C,1382
LSP1,1383
LTA,1384
LTB4R2,1385
LTBP1,1386
LTBR,1387
LYL1,1388
LYN,1389
MAD1L1,1390
MAD2L1,1391
MAD2L2,1392
MADCAM1,1393
MAF,1394
MAFA,1395
MAGI1,1396
MAGI2,1397
MAGI3,1398
MAGOH,1399
MAGOHB,1400
MALT1,1401
MAML1,1402
MAML2,1403
MAN1A1,1404
MAN1A2,1405
MAN1B1,1406
MAN1C1,1407
MAN2A1,1408
MAN2A2,1409
MAP2K1,1410
MAP2K2,1411
MAP2K3,1412
MAP2K4,1413
MAP2K5,1414
MAP2K6,1415
MAP2K7,1416
MAP3K1,1417
MAP3K11,1418
MAP3K12,1419
MAP3K13,1420
MAP3K14,1421
MAP3K20,1422
MAP3K3,1423
MAP3K4,1424
MAP3K5,1425
MAP3K6,1426
MAP3K7,1427
MAP3K8,1428
MAP4K2,1429
MAP4K3,1430
MAP4K4,1431
MAPK1,1432
MAPK11,1433
MAPK12,1434
MAPK13,1435
MAPK14,1436
MAPK3,1437
MAPK7,1438
MAPK8,1439
MAPK8IP1,1440
MAPK8IP2,1441
MAPK8IP3,1442
MAPK9,1443
MAPKAP1,1444
MAPKAPK2,1445
MAPKAPK3,1446
MAPKAPK5,1447
MAPT,1448
MARCKSL1,1449
MARVELD2,1450
MARVELD3,1451
MASP1,1452
MATK,1453
MAVS,1454
MAX,1455
MC2R,1456
MCM2,1457
MCM3,1458
MCM4,1459
MCM5,1460
MCM6,1461
MCM7,1462
MDM2,1463
MDM4,1464
ME1,1465
MECOM,1466
MED1,1467
MED12L,1468
MED13,1469
MED13L,1470
MED16,1471
MED24,1472
MED30,1473
MED4,1474
MEF2A,1475
MEF2B,1476
MEF2C,1477
MEF2D,1478
MEGF8,1479
MEN1,1480
MET,1481
MFN1,1482
MFN2,1483
MFNG,1484
MGAT1,1485
MGAT2,1486
MGRN1,1487
MGST3,1488
MICALL2,1489
MIR1-1,1490
MIR106B,1491
MIR107,1492
MIR10A,1493
MIR10B,1494
MIR124-2,1495
MIR124-3,1496
MIR125A,1497
MIR126,1498
MIR128-2,1499
MIR129-2,1500
MIR133A2,1501
MIR135A1,1502
MIR145,1503
MIR152,1504
MIR181C,1505
MIR181D,1506
MIR183,1507
MIR193B,1508
MIR199A1,1509
MIR200A,1510
MIR200B,1511
MIR200C,1512
MIR205,1513
MIR210,1514
MIR23A,1515
MIR26A2,1516
MIR326,1517
MIR330,1518
MIR345,1519
MIR34A,1520
MIR34B,1521
MIR373,1522
MIR520H,1523
MIR602,1524
MIR7-3,1525
MIR9-1,1526
MIR9-2,1527
MIRLET7E,1528
MIRLET7G,1529
MIRLET7I,1530
MITF,1531
MKNK1,1532
MKNK2,1533
MLH1,1534
MLST8,1535
MLX,1536
MLXIP,1537
MLXIPL,1538
MLYCD,1539
MMP15,1540
MMP16,1541
MMP17,1542
MMP2,1543
MMP24,1544
MMP25,1545
MNX1,1546
MOB1A,1547
MOB1B,1548
MOCS2,1549
MOCS3,1550
MOS,1551
MOSMO,1552
MPDZ,1553
MPP5,1554
MPST,1555
MRAS,1556
MRC2,1557
MRE11,1558
MRVI1,1559
MSI1,1560
MSI2,1561
MTNR1A,1562
MTOR,1563
MVB12A,1564
MVB12B,1565
MX1,1566
MYB,1567
MYBL2,1568
MYC,1569
MYD88,1570
MYH10,1571
MYH11,1572
MYH14,1573
MYH3,1574
MYH7B,1575
MYH9,1576
MYL12A,1577
MYL12B,1578
MYL2,1579
MYL5,1580
MYL6,1581
MYL6B,1582
MYL9,1583
MYLIP,1584
MYLK,1585
MYLK3,1586
MYLPF,1587
MYO10,1588
MYO1B,1589
MYO1C,1590
MYO1D,1591
MYO1E,1592
MYO1F,1593
MYO5A,1594
MYO5B,1595
MYO5C,1596
MYO6,1597
